gu_id,lat,lng
1,37.55487682,126.9696652
1,37.55308718,126.976429
1,37.55522077,126.976546
1,37.55320655,126.9787467
1,37.55368689,126.9854146
1,37.54722934,126.9952291
1,37.54969456,126.9983252
1,37.55015941,127.0043682
1,37.54820236,127.0061334
1,37.54616976,127.0049971
1,37.54385948,127.0072782
1,37.54413326,127.0089846
1,37.53963903,127.0095905
1,37.53768119,127.0172616
1,37.53378887,127.0171928
1,37.52290226,127.0061404
1,37.51309193,126.9907024
1,37.50654651,126.9855368
1,37.50702053,126.9752491
1,37.5175182,126.9498851
1,37.52702919,126.9498787
1,37.53451966,126.9448185
1,37.53750024,126.9533566
1,37.54231339,126.9581739
1,37.54546319,126.9579051
1,37.5487916,126.9637198
1,37.55155543,126.9623379
1,37.55415134,126.9657136
1,37.55566237,126.9691851
1,37.55487682,126.9696652
2,37.55487682,126.9696652
2,37.55308718,126.976429
2,37.55522077,126.976546
2,37.55320655,126.9787467
2,37.55368689,126.9854146
2,37.54722934,126.9952291
2,37.54969456,126.9983252
2,37.55015941,127.0043682
2,37.54820236,127.0061334
2,37.54616976,127.0049971
2,37.54385948,127.0072782
2,37.54413326,127.0089846
2,37.53963903,127.0095905
2,37.53768119,127.0172616
2,37.53378887,127.0171928
2,37.52290226,127.0061404
2,37.51309193,126.9907024
2,37.50654651,126.9855368
2,37.50702053,126.9752491
2,37.5175182,126.9498851
2,37.52702919,126.9498787
2,37.53451966,126.9448185
2,37.53750024,126.9533566
2,37.54231339,126.9581739
2,37.54546319,126.9579051
2,37.5487916,126.9637198
2,37.55155543,126.9623379
2,37.55415134,126.9657136
2,37.55566237,126.9691851
2,37.55487682,126.9696652
